x, y
0.15447154471544716, 0.15089163237311384
0.2642276422764228, 0.28806584362139914
0.41463414634146345, 0.45267489711934156
0.5528455284552846, 0.6172839506172839
0.6951219512195123, 0.7956104252400549
0.853658536585366, 0.9465020576131686
0.9390243902439025, 1.056241426611797
1.0040650406504066, 1.0013717421124828
1.0406504065040652, 0.8093278463648834
1.0894308943089432, 0.42524005486968447
1.1666666666666667, -0.027434842249657063
1.25609756097561, -0.4801097393689986
1.353658536585366, -0.9602194787379972
1.4756097560975612, -1.3580246913580247
1.5609756097560976, -1.755829903978052
1.67479674796748, -2.085048010973937
1.7682926829268295, -2.400548696844993
1.83739837398374, -2.6474622770919067
1.9512195121951221, -2.9492455418381343
2.0406504065040654, -3.223593964334705
2.117886178861789, -3.45679012345679
2.1951219512195124, -3.6762688614540466
2.272357723577236, -3.8820301783264743
2.345528455284553, -4.101508916323731
2.414634146341464, -4.29355281207133
2.51219512195122, -4.526748971193415
2.699186991869919, -5.034293552812071
4.983739837398375, -10.576131687242798
4.678861788617887, -9.821673525377228
4.426829268292684, -9.25925925925926
4.1138211382113825, -8.50480109739369
3.84959349593496, -7.84636488340192
3.5162601626016263, -7.050754458161865
3.207317073170732, -6.323731138545953
2.9308943089430897, -5.624142661179698
