x, y
-0.7566204287515763, 1.9847328244274807e-8
5.800756620428752, 9.923664122137403e-9
11.601513240857503, 1.3358778625954197e-9
16.64564943253468, -6.297709923664122e-9
22.194199243379572, -1.2213740458015266e-8
28.247162673392182, -1.5076335877862594e-8
33.29129886506936, -1.4122137404580152e-8
38.33543505674653, -1.1259541984732824e-8
44.13619167717528, -6.106870229007633e-9
49.93694829760403, -5.725190839694656e-10
55.48549810844893, 5.534351145038167e-9
61.034047919293826, 9.16030534351145e-9
66.33039092055486, 1.0877862595419847e-8
72.38335435056747, 9.923664122137403e-9
78.18411097099622, 6.870229007633587e-9
83.2282471626734, 2.480916030534351e-9
88.52459016393443, -2.0992366412213737e-9
94.8297604035309, -6.870229007633587e-9
99.87389659520807, -9.16030534351145e-9
105.42244640605297, -9.351145038167939e-9
110.718789407314, -7.2519083969465644e-9
117.02395964691047, -4.1984732824427475e-9
121.56368221941993, 1.9083969465648853e-10
128.12105926860025, 4.007633587786259e-9
133.4174022698613, 7.061068702290076e-9
138.46153846153845, 7.82442748091603e-9
144.01008827238337, 6.679389312977099e-9
149.8108448928121, 4.007633587786259e-9
155.35939470365702, 3.8167938931297707e-10
160.65573770491804, -2.862595419847328e-9
166.20428751576293, -5.343511450381679e-9
172.00504413619169, -7.63358778625954e-9
177.80580075662044, -7.061068702290076e-9
183.10214375788146, -5.15267175572519e-9
188.65069356872635, -1.5267175572519083e-9
194.19924337957124, 1.908396946564885e-9
200, 4.389312977099236e-9
205.80075662042876, 6.679389312977099e-9
210.84489281210594, 7.061068702290076e-9
216.6456494325347, 5.534351145038167e-9
222.1941992433796, 2.862595419847328e-9
227.4905422446406, -1.9083969465648853e-10
233.29129886506936, -3.6259541984732822e-9
238.83984867591425, -5.534351145038167e-9
244.38839848675914, -6.106870229007633e-9
249.93694829760403, -4.961832061068702e-9
254.98108448928122, -3.4351145038167937e-9
260.52963430012613, 1.9083969465648853e-10
266.58259773013873, 2.2900763358778623e-9
272.6355611601513, 5.15267175572519e-9
277.1752837326608, 6.48854961832061e-9
283.2282471626734, 5.725190839694656e-9
288.02017654476674, 4.1984732824427475e-9
